ENZYME_TYPE,HIDROPHOBICITY,ISOELECTRIC,AROMATIC,INSTABLE,MW,HELIX,TURN,SHEET,MOL_EXT_RED,MOL_EXT_OX
CMY beta-lactamase,-0.16719160104986888,9.149627113342287,0.09711286089238845,32.66590551181101,42016.848100000025,0.30971128608923887,0.23359580052493437,0.27821522309711283,93850,93975
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.077007299270073,9.095796012878417,0.09854014598540145,40.93653284671534,31562.155300000064,0.354014598540146,0.1970802919708029,0.291970802919708,24870,25245
CTX-M beta-lactamase,-0.17285223367697608,9.252389717102048,0.048109965635738834,26.510996563573876,31205.260300000016,0.2646048109965636,0.21993127147766325,0.30584192439862545,25440,25440
SHV beta-lactamase,-0.05804195804195797,7.750076103210449,0.04895104895104896,39.00034965034965,31275.677600000035,0.2867132867132867,0.1993006993006993,0.3356643356643357,33460,33585
CMY beta-lactamase,-0.15065616797900266,9.05086154937744,0.09711286089238845,35.80999999999998,41998.82470000002,0.3123359580052494,0.23884514435695536,0.2703412073490814,93850,93975
CMY beta-lactamase,-0.17375328083989505,9.149627113342287,0.09711286089238845,33.08664041994749,42032.847500000025,0.30971128608923887,0.23359580052493437,0.27296587926509186,93850,93975
CMY beta-lactamase,-0.1640419947506562,9.05086154937744,0.09711286089238845,35.80999999999998,41942.718500000025,0.30708661417322836,0.23884514435695536,0.2782152230971129,93850,93975
quinolone resistance protein (qnr),-0.12289719626168225,4.998273277282714,0.11214953271028036,20.663130841121486,23773.560699999995,0.29439252336448596,0.23364485981308408,0.2616822429906542,27960,28460
SHV beta-lactamase,-0.07972027972027966,8.84004993438721,0.045454545454545456,41.66013986013985,31267.705300000034,0.28321678321678323,0.1993006993006993,0.3321678321678322,33460,33585
PDC beta-lactamase,-0.30453400503778383,8.848688697814943,0.0906801007556675,37.39697732997479,43413.823899999974,0.2871536523929471,0.23425692695214106,0.2972292191435768,54320,54445
quinolone resistance protein (qnr),-0.16504424778761076,5.274965476989746,0.11504424778761063,16.670840707964597,25157.197799999998,0.28761061946902655,0.23451327433628316,0.26106194690265483,29450,29950
VIM beta-lactamase,0.04586466165413538,5.029648399353028,0.06390977443609022,34.6943984962406,28116.194000000003,0.3120300751879699,0.26691729323308266,0.28195488721804507,29910,29910
resistance-nodulation-cell division (RND) antibiotic efflux pump,0.3178399228543885,5.325950050354003,0.08389585342333655,32.536451301832365,111515.85380000074,0.34426229508196726,0.23915139826422374,0.2970106075216972,86180,86305
VIM beta-lactamase,0.039473684210526355,5.0468137741088865,0.06015037593984962,36.45041353383458,28038.1253,0.3082706766917293,0.26691729323308266,0.2932330827067669,29910,29910
SHV beta-lactamase,-0.08111888111888103,8.84004993438721,0.045454545454545456,41.66013986013985,31281.73190000003,0.28321678321678323,0.1993006993006993,0.3356643356643357,33460,33585
SHV beta-lactamase,-0.07657342657342651,7.756101036071779,0.045454545454545456,38.42342657342656,31252.64760000003,0.28321678321678323,0.19580419580419578,0.3356643356643357,33460,33585
CTX-M beta-lactamase,-0.13436426116838476,9.094635581970216,0.048109965635738834,21.601718213058405,30948.990200000022,0.2542955326460481,0.21649484536082475,0.3127147766323024,25440,25565
CTX-M beta-lactamase,-0.14742268041237114,9.094635581970216,0.048109965635738834,22.555326460481083,31005.053500000024,0.2542955326460481,0.21993127147766323,0.30927835051546393,25440,25565
CMY beta-lactamase,-0.08481675392670168,8.947518730163576,0.08638743455497383,39.21256544502615,40768.00970000001,0.2879581151832461,0.2670157068062827,0.29581151832460734,54320,54320
quinolone resistance protein (qnr),-0.129646017699115,5.0101526260375975,0.11504424778761063,16.08057522123893,25246.287500000002,0.3008849557522124,0.23451327433628322,0.25663716814159293,29450,29950
IMP beta-lactamase,-0.06138211382113818,8.662052726745607,0.1016260162601626,25.562642276422753,27100.928300000014,0.36178861788617883,0.2764227642276423,0.23577235772357724,47440,47565
SHV beta-lactamase,-0.04965034965034961,7.756101036071779,0.045454545454545456,38.524125874125865,31232.63630000003,0.2902097902097902,0.19930069930069927,0.3321678321678322,33460,33585
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.2641137855579872,5.614805793762207,0.06783369803063458,43.708774617067824,51623.62230000005,0.3150984682713348,0.21663019693654265,0.3282275711159737,65430,65430
resistance-nodulation-cell division (RND) antibiotic efflux pump,0.31406987724268276,8.766040229797362,0.0821529745042493,32.0048347497641,114212.17280000087,0.35316336166194523,0.23418319169027385,0.28800755429650615,73690,73690
SHV beta-lactamase,-0.07902097902097895,7.762012290954591,0.045454545454545456,40.28986013986013,31266.634400000028,0.28321678321678323,0.19930069930069927,0.3356643356643357,33460,33585
KPC beta-lactamase,-0.008532423208191137,7.646742820739747,0.08532423208191126,29.18054607508532,31098.9203,0.2901023890784983,0.24573378839590443,0.32081911262798635,47900,48025
VIM beta-lactamase,0.03195488721804514,5.143837928771972,0.06015037593984962,35.421466165413534,28057.2148,0.3082706766917293,0.2631578947368421,0.2932330827067669,29910,29910
major facilitator superfamily (MFS) antibiotic efflux pump,0.9247663551401895,8.81510066986084,0.07710280373831775,29.84462616822429,44424.26810000008,0.39252336448598124,0.2219626168224299,0.3481308411214953,44460,44460
major facilitator superfamily (MFS) antibiotic efflux pump,0.9379912663755474,9.498014259338383,0.11572052401746726,26.974235807860246,49596.73100000003,0.4541484716157206,0.26419213973799127,0.22707423580786026,40910,41160
major facilitator superfamily (MFS) antibiotic efflux pump,0.8782716049382734,7.0898344039916985,0.09382716049382717,30.062716049382697,43412.137999999984,0.41728395061728396,0.2123456790123457,0.31851851851851853,63940,64190
CMY beta-lactamase,-0.13989501312335959,9.223701286315915,0.09448818897637795,35.24832020997373,41894.804700000015,0.3123359580052493,0.2335958005249344,0.2782152230971129,93850,93975
VIM beta-lactamase,0.09248120300751876,5.037492179870605,0.07518796992481203,32.23161654135338,28344.606100000005,0.3270676691729323,0.2556390977443609,0.28195488721804507,31400,31400
major facilitator superfamily (MFS) antibiotic efflux pump,1.0658163265306155,10.04522190093994,0.06887755102040816,25.080102040816325,38854.575700000045,0.35459183673469385,0.2142857142857143,0.4056122448979592,42970,43220
IMP beta-lactamase,-0.16788617886178858,8.713047218322753,0.1056910569105691,29.039878048780473,27210.915300000015,0.33739837398373984,0.26422764227642276,0.23170731707317077,48930,49180
IMP beta-lactamase,-0.13780487804878044,8.214577674865723,0.0975609756097561,28.247195121951208,27094.79830000001,0.3414634146341463,0.26016260162601623,0.23170731707317074,48930,49180
CTX-M beta-lactamase,-0.1484536082474226,9.270505332946776,0.048109965635738834,22.538144329896895,31048.124600000025,0.2542955326460481,0.21305841924398625,0.3127147766323024,25440,25565
CMY beta-lactamase,-0.15721784776902892,9.051054954528809,0.09711286089238845,32.64097112860891,41947.73970000003,0.30971128608923887,0.23359580052493437,0.2755905511811024,93850,93975
IMP beta-lactamase,-0.16056910569105678,8.829992866516115,0.10569105691056911,19.416707317073158,27103.851300000017,0.34552845528455284,0.2682926829268293,0.23983739837398377,44920,45045
quinolone resistance protein (qnr),-0.25458715596330306,4.849809837341308,0.12385321100917432,47.16064220183487,24733.5106,0.29357798165137616,0.23394495412844038,0.24311926605504589,25440,26440
major facilitator superfamily (MFS) antibiotic efflux pump,-0.3359201773835924,6.486659049987793,0.08869179600886917,43.921308203991124,52399.42079999999,0.35476718403547675,0.2017738359201774,0.2106430155210643,30370,30370
resistance-nodulation-cell division (RND) antibiotic efflux pump,0.14626038781163392,6.209512138366699,0.09418282548476455,26.95650969529085,40770.87640000003,0.3905817174515236,0.19390581717451524,0.2770083102493075,46410,46535
SHV beta-lactamase,-0.06888111888111882,7.756101036071779,0.045454545454545456,38.72027972027971,31206.55600000003,0.2867132867132867,0.19930069930069927,0.3321678321678322,33460,33585
CTX-M beta-lactamase,-0.13298969072164937,9.094635581970216,0.048109965635738834,21.893470790377993,30968.978300000024,0.2542955326460481,0.21649484536082475,0.3127147766323024,25440,25565
CTX-M beta-lactamase,-0.1484536082474226,9.270505332946776,0.048109965635738834,21.893470790377993,31048.124600000025,0.2542955326460481,0.21305841924398625,0.3127147766323024,25440,25565
SHV beta-lactamase,-0.10594405594405584,8.489793205261233,0.045454545454545456,42.25944055944055,31281.649100000028,0.2797202797202797,0.19930069930069927,0.3321678321678322,33460,33585
CTX-M beta-lactamase,-0.17353951890034375,9.252389717102048,0.048109965635738834,25.769759450171815,31249.312800000014,0.26804123711340205,0.22336769759450173,0.29896907216494845,25440,25440
CTX-M beta-lactamase,-0.20790378006872876,8.905356407165527,0.04810996563573883,22.612371134020613,31404.449200000032,0.25773195876288657,0.21649484536082475,0.3161512027491409,23950,23950
SHV beta-lactamase,-0.04055944055944053,8.48992214202881,0.045454545454545456,37.86048951048951,31165.61330000003,0.2867132867132867,0.2027972027972028,0.33916083916083917,33460,33585
VIM beta-lactamase,0.033458646616541333,5.132470130920409,0.06015037593984962,36.76958646616541,28121.260200000004,0.3120300751879699,0.2631578947368421,0.2894736842105263,29910,29910
CMY beta-lactamase,-0.16535433070866148,8.933786964416509,0.09711286089238845,35.80999999999998,42070.88740000002,0.3123359580052494,0.23884514435695536,0.2755905511811023,93850,93975
SHV beta-lactamase,-0.08601398601398591,8.84004993438721,0.045454545454545456,40.841258741258734,31223.65270000003,0.28321678321678323,0.2027972027972028,0.3286713286713287,33460,33585
SHV beta-lactamase,-0.051748251748251664,7.756101036071779,0.045454545454545456,38.72027972027971,31204.58310000003,0.2902097902097902,0.19930069930069927,0.3321678321678322,33460,33585
CMY beta-lactamase,-0.14304461942257213,8.788604164123537,0.09711286089238845,34.89241469816271,41849.54220000003,0.30971128608923887,0.23622047244094488,0.27034120734908135,93850,93975
CTX-M beta-lactamase,-0.1608247422680414,9.252712059020993,0.048109965635738834,25.998625429553258,31124.189100000018,0.2646048109965636,0.2268041237113402,0.30584192439862545,25440,25440
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.39208333333333395,8.308056831359863,0.125,50.66041666666668,28144.904200000026,0.3041666666666667,0.16666666666666666,0.3,40910,41160
quinolone resistance protein (qnr),-0.2568807339449545,5.343513298034667,0.11467889908256881,35.392660550458714,24704.4712,0.29357798165137616,0.21100917431192662,0.25688073394495414,25440,26065
ACT beta-lactamase,-0.049343832020997375,8.934173774719241,0.09448818897637795,38.81787401574802,41491.54270000002,0.30183727034120733,0.23884514435695536,0.2992125984251969,82850,82975
SHV beta-lactamase,-0.042657342657342584,7.772527503967285,0.045454545454545456,38.42482517482517,31260.71270000003,0.2867132867132867,0.1923076923076923,0.3426573426573427,33460,33585
ACT beta-lactamase,-0.046194225721784825,8.884984397888186,0.08661417322834646,35.794251968503914,41213.105000000025,0.30183727034120733,0.24671916010498687,0.29133858267716534,78840,78965
SHV beta-lactamase,-0.06538461538461529,8.489793205261233,0.04195804195804196,40.53671328671328,31223.651200000033,0.28321678321678323,0.1993006993006993,0.33916083916083917,27960,28085
SHV beta-lactamase,-0.04790209790209786,6.917839622497559,0.045454545454545456,38.56713286713286,31195.59290000003,0.2867132867132867,0.19930069930069927,0.33916083916083917,33460,33585
major facilitator superfamily (MFS) antibiotic efflux pump,0.8288782816229131,9.552232170104979,0.10023866348448687,38.99498806682576,44374.22360000002,0.3914081145584726,0.25298329355608595,0.32219570405727926,75400,75900
CTX-M beta-lactamase,-0.1240549828178693,9.094635581970216,0.048109965635738834,21.231615120274903,30952.978900000024,0.2542955326460481,0.21305841924398625,0.3161512027491409,25440,25565
CMY beta-lactamase,-0.1821522309711288,9.138474082946779,0.09711286089238845,32.44307086614172,42060.90070000003,0.30971128608923887,0.23359580052493437,0.2755905511811024,93850,93975
ACT beta-lactamase,-0.035170603674540744,8.924116706848146,0.09448818897637795,35.358556430446185,41443.47820000002,0.30708661417322836,0.23622047244094488,0.2992125984251969,84340,84465
CMY beta-lactamase,-0.1716535433070867,8.933786964416509,0.09711286089238845,35.80999999999998,42028.80770000003,0.3097112860892388,0.23884514435695536,0.2755905511811023,93850,93975
VIM beta-lactamase,0.11165413533834571,5.037492179870605,0.07518796992481203,32.33988721804512,28296.5417,0.3308270676691729,0.2556390977443609,0.28195488721804507,31400,31400
SHV beta-lactamase,-0.14125874125874116,9.222089576721192,0.045454545454545456,42.71013986013985,31292.652000000035,0.27622377622377625,0.2027972027972028,0.32867132867132864,33460,33585
quinolone resistance protein (qnr),-0.18185840707964618,5.494250297546387,0.11504424778761063,21.525265486725658,25284.385400000003,0.28761061946902655,0.23008849557522126,0.2654867256637168,29450,29950
CMY beta-lactamase,-0.08481675392670168,8.947583198547363,0.08638743455497383,39.39371727748688,40782.036300000014,0.2879581151832461,0.2670157068062827,0.29842931937172773,54320,54320
CMY beta-lactamase,-0.17664041994750668,9.235370063781737,0.09448818897637795,32.9131496062992,41972.79730000003,0.30708661417322836,0.23359580052493437,0.2755905511811024,88350,88475
quinolone resistance protein (qnr),-0.16588785046728977,4.998273277282714,0.11682242990654204,16.90939252336448,23926.719099999995,0.29439252336448596,0.23364485981308408,0.24766355140186913,27960,28460
CTX-M beta-lactamase,-0.17595818815331027,9.515936470031736,0.04878048780487805,27.57944250871079,30754.756600000015,0.26480836236933797,0.22648083623693377,0.30313588850174217,25440,25440
CTX-M beta-lactamase,-0.2156028368794327,9.515743064880368,0.04964539007092199,31.54822695035461,30266.20150000001,0.25886524822695034,0.23404255319148937,0.2978723404255319,25440,25440
CMY beta-lactamase,-0.16167979002624672,9.040353202819823,0.09711286089238845,34.9911023622047,41870.65250000002,0.30708661417322836,0.24146981627296588,0.2782152230971129,93850,93975
CTX-M beta-lactamase,-0.14398625429553258,9.094828987121584,0.048109965635738834,20.310652920962188,31029.078200000025,0.2542955326460481,0.21305841924398625,0.3127147766323024,25440,25565
CMY beta-lactamase,-0.11574803149606293,8.933915901184086,0.09711286089238845,35.44070866141731,41916.760600000016,0.3149606299212599,0.23884514435695536,0.28346456692913385,93850,93975
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.09111675126903546,7.721997642517089,0.030456852791878174,34.996192893401,40912.20390000001,0.25634517766497467,0.2284263959390863,0.31725888324873097,12950,12950
SHV beta-lactamase,-0.04090909090909086,6.917839622497559,0.045454545454545456,36.997552447552444,31170.540400000038,0.2867132867132867,0.20279720279720279,0.33916083916083917,33460,33585
CMY beta-lactamase,-0.1461942257217847,9.149627113342287,0.09711286089238845,33.25829396325458,42001.87650000003,0.3123359580052493,0.23097112860892388,0.2755905511811024,93850,93975
SHV beta-lactamase,-0.05559440559440553,6.97445125579834,0.045454545454545456,37.06468531468531,31234.629000000034,0.2867132867132867,0.19930069930069927,0.3356643356643357,33460,33585
VIM beta-lactamase,0.11616541353383439,4.951551628112792,0.07518796992481203,32.33988721804512,28257.459300000002,0.3308270676691729,0.2593984962406015,0.2781954887218045,31400,31400
CMY beta-lactamase,-0.13404255319148933,8.32275562286377,0.09840425531914893,36.78300531914892,41131.585200000016,0.3058510638297873,0.23670212765957446,0.2765957446808511,93850,93975
CMY beta-lactamase,-0.1855643044619424,9.149627113342287,0.09711286089238845,32.8638057742782,41948.68810000003,0.3044619422572179,0.23622047244094485,0.2755905511811023,93850,93975
SHV beta-lactamase,-0.0538461538461538,6.918692207336425,0.045454545454545456,37.59685314685315,31309.73860000003,0.2902097902097902,0.19580419580419578,0.3356643356643357,33460,33585
CTX-M beta-lactamase,-0.14707903780068735,9.380552864074708,0.048109965635738834,27.30515463917525,31169.31580000001,0.26804123711340205,0.2233676975945017,0.30584192439862545,25440,25440
CMY beta-lactamase,-0.16587926509186365,9.05086154937744,0.09711286089238845,35.80999999999998,41942.718500000025,0.30708661417322836,0.23884514435695536,0.28083989501312334,93850,93975
CMY beta-lactamase,-0.15538057742782146,9.23530559539795,0.09711286089238845,32.8638057742782,42023.88370000002,0.3123359580052493,0.23097112860892388,0.2755905511811024,93850,93975
SHV beta-lactamase,-0.052797202797202764,7.756101036071779,0.045454545454545456,38.943706293706285,31253.675400000026,0.2867132867132867,0.1993006993006993,0.33916083916083917,33460,33585
CTX-M beta-lactamase,-0.1848797250859108,9.252389717102048,0.048109965635738834,26.43161512027491,31217.271000000008,0.2646048109965636,0.2268041237113402,0.3024054982817869,25440,25440
CTX-M beta-lactamase,-0.19587628865979398,8.905356407165527,0.04810996563573883,23.936082474226797,31367.386000000035,0.25773195876288657,0.21649484536082475,0.3161512027491409,23950,23950
quinolone resistance protein (qnr),-0.152803738317757,4.998273277282714,0.11682242990654204,22.02528037383177,23896.693199999998,0.2897196261682243,0.23364485981308408,0.2616822429906542,27960,28460
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.29131355932203434,5.324529075622559,0.057203389830508475,42.59088983050845,51164.61960000017,0.26906779661016944,0.20127118644067798,0.3559322033898305,46410,46410
major facilitator superfamily (MFS) antibiotic efflux pump,0.9583120204603599,9.496015739440917,0.0843989769820972,34.07468030690535,40323.31280000006,0.38618925831202044,0.24040920716112532,0.329923273657289,55460,55585
CTX-M beta-lactamase,-0.12646048109965627,9.512390708923341,0.048109965635738834,21.734020618556684,30920.03840000002,0.2542955326460481,0.21993127147766323,0.30927835051546393,25440,25565
IMP beta-lactamase,-0.11504065040650412,7.721031379699707,0.10975609756097562,23.026869918699173,27134.876900000017,0.3536585365853659,0.2682926829268293,0.2520325203252033,44920,45045
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.2059125964010284,9.531860160827637,0.03598971722365039,38.77840616966578,41443.76260000006,0.2596401028277635,0.2030848329048843,0.33161953727506427,21430,21555
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.20236559139784996,9.146145820617676,0.07096774193548387,37.92645161290323,51070.565800000055,0.30537634408602155,0.22795698924731184,0.27741935483870966,44350,44350
CMY beta-lactamase,-0.17007874015748034,8.944166374206542,0.09711286089238845,36.5890026246719,41969.700700000016,0.30708661417322836,0.23884514435695536,0.2782152230971129,93850,93975
IMP beta-lactamase,-0.14065040650406507,8.64135837554932,0.10569105691056911,26.228902439024374,27119.824300000015,0.34959349593495936,0.2764227642276423,0.23577235772357724,44920,45045
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.037687366167023534,6.247253227233887,0.06423982869379015,40.119314775160596,51236.92300000007,0.31905781584582443,0.19914346895074947,0.3276231263383298,43430,43555
SHV beta-lactamase,-0.049999999999999975,8.821676445007324,0.04482758620689655,37.91551724137929,31692.282600000028,0.2896551724137931,0.19655172413793104,0.33793103448275863,33460,33585
quinolone resistance protein (qnr),-0.15398230088495587,5.2880952835083,0.11946902654867257,20.185044247787598,25234.321600000003,0.2920353982300885,0.23008849557522126,0.2654867256637168,30940,31440
SHV beta-lactamase,-0.08153846153846149,6.850371742248535,0.04230769230769231,40.4276923076923,28175.08390000001,0.2730769230769231,0.2076923076923077,0.35,26470,26595
PDC beta-lactamase,-0.2811083123425696,8.340742301940917,0.0906801007556675,34.996473551637266,43342.73929999998,0.28967254408060455,0.23425692695214106,0.29974811083123426,54320,54445
quinolone resistance protein (qnr),-0.14112149532710272,5.117294120788574,0.11682242990654204,23.25425233644859,23865.682399999998,0.2897196261682243,0.23831775700934577,0.26635514018691586,27960,28460
quinolone resistance protein (qnr),-0.16283185840707973,5.2880952835083,0.11504424778761063,19.723938053097335,25217.3159,0.28761061946902655,0.23451327433628316,0.26106194690265483,29450,29950
VIM beta-lactamase,0.07744360902255636,5.1280366897583,0.06015037593984962,34.69590225563909,28051.230000000003,0.31954887218045114,0.2631578947368421,0.2894736842105263,29910,29910
quinolone resistance protein (qnr),-0.09532710280373823,4.887494087219238,0.11682242990654204,20.387429906542046,23809.6125,0.29906542056074764,0.23831775700934577,0.2523364485981308,27960,28460
CTX-M beta-lactamase,-0.1384868421052631,8.944230842590333,0.049342105263157895,36.581250000000004,32264.50500000002,0.256578947368421,0.26644736842105265,0.29276315789473684,29450,29450
CMY beta-lactamase,-0.1501312335958005,8.943972969055178,0.09711286089238845,39.00921259842518,41892.613300000026,0.30971128608923887,0.23884514435695536,0.27034120734908135,93850,93975
CTX-M beta-lactamase,-0.11237113402061845,8.955899620056151,0.048109965635738834,19.203092783505134,31061.179600000025,0.25773195876288657,0.21993127147766323,0.30584192439862545,25440,25565
SHV beta-lactamase,-0.08916083916083907,9.264445304870605,0.045454545454545456,41.516433566433555,31298.828600000033,0.27972027972027974,0.1993006993006993,0.3321678321678322,33460,33585
SHV beta-lactamase,-0.051398601398601355,8.48992214202881,0.045454545454545456,38.256993006993,31222.664600000036,0.2867132867132867,0.2027972027972028,0.33916083916083917,33460,33585
major facilitator superfamily (MFS) antibiotic efflux pump,0.9334630350194565,6.932049369812011,0.09727626459143969,24.95661478599221,55001.14490000015,0.41245136186770426,0.21595330739299612,0.33073929961089493,59930,59930
SHV beta-lactamase,-0.11115384615384612,6.334557914733887,0.05,40.88038461538461,28317.151800000003,0.2730769230769231,0.20769230769230768,0.3384615384615385,26470,26595
major facilitator superfamily (MFS) antibiotic efflux pump,0.6582089552238825,10.055214500427244,0.11442786069651742,40.09952736318405,44362.71590000004,0.39303482587064675,0.2064676616915423,0.3407960199004975,75400,75650
CTX-M beta-lactamase,-0.124742268041237,9.094635581970216,0.048109965635738834,21.893470790377993,30997.03140000003,0.25773195876288657,0.21649484536082475,0.30927835051546393,25440,25565
quinolone resistance protein (qnr),-0.2614678899082572,5.343513298034667,0.11926605504587157,35.95871559633028,24738.4874,0.29357798165137616,0.21100917431192662,0.2522935779816514,25440,26065
quinolone resistance protein (qnr),-0.15607476635514023,4.998273277282714,0.11682242990654204,19.26079439252336,23926.719099999995,0.29439252336448596,0.23364485981308408,0.2523364485981308,27960,28460
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.2231325301204821,8.90303554534912,0.04578313253012048,30.443614457831334,44463.71960000007,0.27469879518072293,0.20481927710843373,0.26024096385542167,38960,38960
quinolone resistance protein (qnr),-0.13971962616822425,5.117294120788574,0.11682242990654204,17.96406542056074,23838.656999999996,0.29439252336448596,0.23831775700934577,0.2523364485981308,27960,28460
VIM beta-lactamase,0.10225563909774422,5.037492179870605,0.07518796992481203,32.33988721804512,28326.567700000007,0.3308270676691729,0.2556390977443609,0.2781954887218045,31400,31400
quinolone resistance protein (qnr),-0.2477064220183491,5.739112663269044,0.11926605504587157,38.52522935779816,24787.6112,0.28899082568807344,0.1926605504587156,0.25688073394495414,23950,24575
PDC beta-lactamase,-0.2899244332493706,8.648965644836426,0.0906801007556675,35.954156171284616,43400.821799999976,0.28967254408060455,0.23425692695214106,0.29722921914357686,54320,54445
ACT beta-lactamase,-0.042519685039370134,9.026170158386229,0.08923884514435695,34.88611548556428,41154.01810000002,0.29396325459317585,0.24671916010498687,0.2992125984251968,81360,81485
quinolone resistance protein (qnr),-0.10930232558139519,5.102970695495604,0.11627906976744186,21.197255813953483,23912.735499999995,0.29767441860465116,0.24186046511627907,0.24651162790697673,27960,28460
quinolone resistance protein (qnr),-0.16504424778761076,5.2880952835083,0.11504424778761063,18.615088495575215,25171.2244,0.28761061946902655,0.23451327433628316,0.2654867256637168,29450,29950
